 tobii_timestamp; GazeX; GazeY; GazeZ; eyeUVX; eyeUVY; FPS; lagTime; Time_Start; Mode
 0; 0; 0; 0; 0; 0; 27; 0; ;
 14753; 0,02979724; 0,04148617; 0,9986947; 0,005959449; 0,008297234; 27; 0; ;
 14753; 0,02979724; 0,04148617; 0,9986947; 0,005959449; 0,008297234; 50; 0; ;
 14753; 0,02979724; 0,04148617; 0,9986947; 0,005959449; 0,008297234; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,01382977; 0,01242801; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,02012603; 0,01573263; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,02516304; 0,01837633; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,02919264; 0,02049129; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,03241633; 0,02218325; 75; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,03241633; 0,02218325; 10; 0; ;
 14873; 0,04531106; 0,02895112; 0,9985533; 0,03241633; 0,02218325; 10; 0; ;
 14971; -0,03968742; 0,02041071; 0,9990036; 0,01799558; 0,02182874; 10; 0; ;
 14971; -0,03968742; 0,02041071; 0,9990036; 0,006458975; 0,02154514; 10; 0; ;
 14971; -0,03968742; 0,02041071; 0,9990036; 0,006458975; 0,02154514; 33; 0; ;
 14971; -0,03968742; 0,02041071; 0,9990036; 0,006458975; 0,02154514; 33; 0; ;
 14971; -0,03968742; 0,02041071; 0,9990036; 0,006458975; 0,02154514; 33; 0; ;
 15002; -0,05583589; 0,08758211; 0,9945912; -0,005999997; 0,03475253; 33; 0; ;
 15002; -0,05583589; 0,08758211; 0,9945912; -0,005999997; 0,03475253; 33; 0; ;
 15002; -0,05583589; 0,08758211; 0,9945912; -0,01596718; 0,04531845; 33; 0; ;
 15002; -0,05583589; 0,08758211; 0,9945912; -0,01596718; 0,04531845; 27; 0; ;
 15002; -0,05583589; 0,08758211; 0,9945912; -0,01596718; 0,04531845; 27; 0; ;
 15038; -0,06240468; 0,08367518; 0,9945372; -0,02525468; 0,05298979; 27; 0; ;
 15038; -0,06240468; 0,08367518; 0,9945372; -0,03268468; 0,05912687; 27; 0; ;
 15038; -0,06240468; 0,08367518; 0,9945372; -0,03268468; 0,05912687; 25; 0; ;
 15038; -0,06240468; 0,08367518; 0,9945372; -0,03268468; 0,05912687; 25; 0; ;
 15078; -0,06278627; 0,092854; 0,9936982; -0,038705; 0,0658723; 25; 0; ;
 15078; -0,06278627; 0,092854; 0,9936982; -0,038705; 0,0658723; 28; 0; ;
 15078; -0,06278627; 0,092854; 0,9936982; -0,038705; 0,0658723; 28; 0; ;
 15113; -0,01997213; 0,1102667; 0,9937014; -0,03495843; 0,07475117; 28; 0; ;
 15113; -0,01997213; 0,1102667; 0,9937014; -0,03196117; 0,08185427; 28; 0; ;
 15113; -0,01997213; 0,1102667; 0,9937014; -0,02956336; 0,08753674; 28; 0; ;
 15113; -0,01997213; 0,1102667; 0,9937014; -0,02956336; 0,08753674; 21; 0; ;
 15113; -0,01997213; 0,1102667; 0,9937014; -0,02956336; 0,08753674; 21; 0; ;
 15161; 0,008935216; 0,1282758; 0,9916983; -0,02186364; 0,09568455; 21; 0; ;
 15161; 0,008935216; 0,1282758; 0,9916983; -0,01570387; 0,1022028; 21; 0; ;
 15161; 0,008935216; 0,1282758; 0,9916983; -0,01570387; 0,1022028; 26; 0; ;
 15161; 0,008935216; 0,1282758; 0,9916983; -0,01570387; 0,1022028; 26; 0; ;
 15199; -0,007735801; 0,1154236; 0,9932863; -0,01411026; 0,104847; 26; 0; ;
 15199; -0,007735801; 0,1154236; 0,9932863; -0,01283537; 0,1069623; 26; 0; ;
 15199; -0,007735801; 0,1154236; 0,9932863; -0,01283537; 0,1069623; 26; 0; ;
 15199; -0,007735801; 0,1154236; 0,9932863; -0,01283537; 0,1069623; 26; 0; ;
 15238; -0,006242695; 0,1143717; 0,9934184; -0,01151683; 0,1084442; 26; 0; ;
 15238; -0,006242695; 0,1143717; 0,9934184; -0,010462; 0,1096297; 26; 0; ;
 15238; -0,006242695; 0,1143717; 0,9934184; -0,010462; 0,1096297; 22; 0; ;
 15238; -0,006242695; 0,1143717; 0,9934184; -0,010462; 0,1096297; 22; 0; ;
 15284; -0,009778138; 0,1166874; 0,9931206; -0,01032523; 0,1110412; 22; 0; ;
 15284; -0,009778138; 0,1166874; 0,9931206; -0,01021581; 0,1121704; 22; 0; ;
 15284; -0,009778138; 0,1166874; 0,9931206; -0,01021581; 0,1121704; 22; 0; ;
 15284; -0,009778138; 0,1166874; 0,9931206; -0,01021581; 0,1121704; 22; 0; ;
 15284; -0,009778138; 0,1166874; 0,9931206; -0,01021581; 0,1121704; 22; 0; ;
 15329; -0,01042541; 0,1162054; 0,9931704; -0,01025773; 0,1129774; 22; 0; ;
 15329; -0,01042541; 0,1162054; 0,9931704; -0,01029127; 0,113623; 22; 0; ;
 15329; -0,01042541; 0,1162054; 0,9931704; -0,01029127; 0,113623; 25; 0; ;
 15329; -0,01042541; 0,1162054; 0,9931704; -0,01029127; 0,113623; 25; 0; ;
 15369; -0,008893237; 0,1166238; 0,9931363; -0,01001166; 0,1142232; 25; 0; ;
 15369; -0,008893237; 0,1166238; 0,9931363; -0,009787978; 0,1147033; 25; 0; ;
 15369; -0,008893237; 0,1166238; 0,9931363; -0,009787978; 0,1147033; 28; 0; ;
 15369; -0,008893237; 0,1166238; 0,9931363; -0,009787978; 0,1147033; 28; 0; ;
 15406; -0,006322082; 0,1143039; 0,9934257; -0,009094799; 0,1146234; 28; 0; ;
 15406; -0,006322082; 0,1143039; 0,9934257; -0,008540256; 0,1145595; 28; 0; ;
 15406; -0,006322082; 0,1143039; 0,9934257; -0,008540256; 0,1145595; 31; 0; ;
 15438; 0,00589942; 0,1189343; 0,9928846; -0,005652321; 0,1154345; 31; 0; ;
 15438; 0,00589942; 0,1189343; 0,9928846; -0,005652321; 0,1154345; 31; 0; ;
 15438; 0,00589942; 0,1189343; 0,9928846; -0,005652321; 0,1154345; 31; 0; ;
 15471; 0,005297621; 0,1208478; 0,9926569; -0,003462332; 0,1165171; 31; 0; ;
 15471; 0,005297621; 0,1208478; 0,9926569; -0,001710342; 0,1173833; 31; 0; ;
 15471; 0,005297621; 0,1208478; 0,9926569; -0,001710342; 0,1173833; 30; 0; ;
 15504; 0,01608427; 0,12349; 0,9922155; 0,00184858; 0,1186046; 30; 0; ;
 15504; 0,01608427; 0,12349; 0,9922155; 0,004695718; 0,1195817; 30; 0; ;
 15504; 0,01608427; 0,12349; 0,9922155; 0,004695718; 0,1195817; 22; 0; ;
 15504; 0,01608427; 0,12349; 0,9922155; 0,004695718; 0,1195817; 22; 0; ;
 15549; 0,02380107; 0,08995911; 0,9956611; 0,008516788; 0,1136572; 22; 0; ;
 15549; 0,02380107; 0,08995911; 0,9956611; 0,008516788; 0,1136572; 22; 0; ;
 15549; 0,02380107; 0,08995911; 0,9956611; 0,01157364; 0,1089176; 22; 0; ;
 15549; 0,02380107; 0,08995911; 0,9956611; 0,01157364; 0,1089176; 22; 0; ;
 15549; 0,02380107; 0,08995911; 0,9956611; 0,01157364; 0,1089176; 22; 0; ;
 15595; -0,02543827; 0,0737531; 0,9969521; 0,004171261; 0,1018847; 22; 0; ;
 15595; -0,02543827; 0,0737531; 0,9969521; -0,001750645; 0,09625836; 22; 0; ;
 15595; -0,02543827; 0,0737531; 0,9969521; -0,00648817; 0,09175731; 22; 0; ;
 15595; -0,02543827; 0,0737531; 0,9969521; -0,00648817; 0,09175731; 22; 0; ;
 15595; -0,02543827; 0,0737531; 0,9969521; -0,00648817; 0,09175731; 22; 0; ;
 15640; -0,02563777; 0,07111576; 0,9971386; -0,01031809; 0,08762901; 22; 0; ;
 15640; -0,02563777; 0,07111576; 0,9971386; -0,01338203; 0,08432636; 22; 0; ;
 15640; -0,02563777; 0,07111576; 0,9971386; -0,01338203; 0,08432636; 18; 0; ;
 15640; -0,02563777; 0,07111576; 0,9971386; -0,01338203; 0,08432636; 18; 0; ;
 15695; -0,06278001; 0,05093052; 0,996727; -0,02326162; 0,07764719; 18; 0; ;
 15695; -0,06278001; 0,05093052; 0,996727; -0,02326162; 0,07764719; 18; 0; ;
 15695; -0,06278001; 0,05093052; 0,996727; -0,0311653; 0,07230385; 18; 0; ;
