;x;y;timestamp
0;8;8;14330
1;8;8;14370
2;8;8;14396
3;8;8;14428
4;8;8;14469
5;8;8;14512
6;8;8;14570
7;7;10;14620
8;7;10;14669
9;7;10;14715
10;7;9;14760
11;9;9;14817
12;9;9;14852
13;9;9;14897
14;9;9;14934
15;9;9;14983
16;9;9;15031
17;9;9;15077
18;7;7;15117
19;7;7;15160
20;7;7;15196
21;6;7;15238
22;7;7;15285
23;7;7;15334
24;7;7;15377
25;7;7;15416
26;8;7;15450
27;8;7;15493
28;8;7;15541
29;8;7;15590
30;8;7;15619
31;8;7;15664
32;8;7;15703
33;6;8;15751
34;6;8;15796
35;6;8;15838
36;7;8;15888
37;7;8;15918
38;7;8;15963
39;7;8;16011
40;8;8;16047
41;7;8;16088
42;8;8;16128
43;8;8;16173
44;8;8;16216
45;8;8;16258
46;8;8;16307
47;8;8;16352
48;8;8;16393
49;8;8;16437
50;5;8;16470
51;6;8;16516
52;6;8;16554
53;6;8;16586
54;7;8;16619
55;6;8;16651
56;6;8;16686
57;7;8;16719
58;7;8;16755
59;7;8;16785
60;8;8;16820
61;8;8;16866
62;8;8;16890
63;8;8;16924
64;7;8;16949
65;7;8;16975
66;7;8;17006
67;7;8;17030
68;7;8;17052
69;8;8;17077
70;8;8;17098
71;8;8;17123
72;8;8;17147
73;8;8;17166
74;10;10;17188
75;11;11;17211
76;12;12;17232
77;13;12;17266
78;13;12;17297
79;12;12;17329
80;12;12;17357
81;12;12;17377
82;12;12;17398
83;12;12;17420
84;12;12;17444
85;12;12;17477
86;12;12;17508
87;12;12;17534
88;12;12;17555
89;12;12;17578
90;12;12;17599
91;12;12;17622
92;12;12;17653
93;12;12;17687
94;12;12;17714
95;12;12;17732
96;12;12;17753
97;12;12;17777
98;12;12;17809
99;12;12;17843
100;12;12;17865
101;12;12;17900
102;12;12;17923
103;12;12;17944
104;12;12;17965
105;12;12;17987
106;12;12;18010
107;12;12;18032
108;12;12;18067
109;12;12;18101
110;12;12;18131
111;12;12;18153
112;12;12;18177
113;12;12;18199
114;12;12;18223
115;12;12;18245
116;12;12;18267
117;12;12;18299
118;12;12;18331
119;12;12;18352
120;12;12;18376
121;12;12;18399
122;12;12;18422
123;12;12;18448
124;12;12;18466
125;12;12;18489
126;12;12;18510
127;12;12;18546
128;12;12;18575
129;12;12;18596
130;11;12;18630
131;9;12;18659
132;7;12;18698
133;5;12;18718
134;3;12;18744
135;3;12;18776
136;2;11;18805
137;2;11;18847
138;2;11;18865
139;2;11;18898
140;2;11;18922
141;2;11;18943
142;2;11;18965
143;2;11;18987
144;2;11;19014
145;2;11;19046
146;2;11;19078
147;2;11;19100
148;2;11;19121
149;2;11;19145
150;2;11;19165
151;2;11;19187
152;2;11;19213
153;2;11;19245
154;2;11;19276
155;2;11;19297
156;2;11;19320
157;2;11;19345
158;2;11;19366
159;2;11;19392
160;2;11;19412
161;2;11;19432
162;2;11;19455
163;2;11;19477
164;2;11;19509
165;2;11;19543
166;2;11;19579
167;2;11;19599
168;2;11;19619
169;2;11;19643
170;2;11;19664
171;1;10;19698
172;1;9;19729
173;1;9;19753
174;1;9;19780
175;1;9;19799
176;1;9;19822
177;1;9;19845
178;1;9;19865
179;1;9;19886
180;1;9;19921
181;1;9;19955
182;1;9;19975
183;1;9;19997
184;1;9;20020
185;1;9;20044
186;1;9;20076
187;1;9;20110
188;1;9;20135
